Date,Close
4/15/2016,78.97
4/18/2016,79.01
4/19/2016,79.46
4/20/2016,81.21
4/21/2016,80.78
4/22/2016,79.89
4/25/2016,78.84
4/26/2016,78.61
4/27/2016,77.65
4/28/2016,76.4
4/29/2016,76.94
5/2/2016,76.61
5/3/2016,75.91
5/4/2016,75.82
5/5/2016,78.83
5/6/2016,79.2
5/9/2016,79.41
5/10/2016,79.72
5/11/2016,79.8
5/12/2016,79.16
5/13/2016,77.16
5/16/2016,79.29
5/17/2016,79.35
5/18/2016,79.03
5/19/2016,78.32
5/20/2016,78.79
5/23/2016,79
5/24/2016,81.12
5/25/2016,75.59
5/26/2016,78.35
5/27/2016,80.97
5/31/2016,82
6/1/2016,76.69
6/2/2016,77.3
6/3/2016,76.62
6/6/2016,78.06
6/7/2016,77.84
6/8/2016,77.64
6/9/2016,77.56
6/10/2016,75.92
6/13/2016,75.45
6/14/2016,77.77
6/15/2016,78.39
6/16/2016,78.27
6/17/2016,77
6/20/2016,78.15
6/21/2016,78.62
6/22/2016,78.73
6/23/2016,79.14
6/24/2016,76.29
6/27/2016,74.23
6/28/2016,76.28
6/29/2016,78.04
6/30/2016,79.53
7/1/2016,79.65
7/5/2016,78.97
7/6/2016,78.64
7/7/2016,79.35
7/8/2016,78.99
7/11/2016,81.46
7/12/2016,81.74
7/13/2016,80.57
7/14/2016,81.74
7/15/2016,81.25
7/18/2016,82.65
7/19/2016,82.77
7/20/2016,84.42
7/21/2016,84.18
7/22/2016,84.49
7/25/2016,83.19
7/26/2016,83.59
7/27/2016,83.1
7/28/2016,83.12
7/29/2016,82.48
8/1/2016,84.34
8/2/2016,83.8
8/3/2016,83.67
8/4/2016,84.75
8/5/2016,84.59
8/8/2016,85
8/9/2016,85.24
8/10/2016,87.33
8/11/2016,91.77
8/12/2016,98.25
8/15/2016,97.17
8/16/2016,96.66
8/17/2016,97
8/18/2016,97
8/19/2016,96.86
8/22/2016,95.65
8/23/2016,95.79
8/24/2016,93.88
